"Date","Price","Open","High","Low","Vol.","Change %"
"12/21/2023","21.15","20.48","23.76","20.30","","-1.81%"
"12/20/2023","21.54","20.33","23.95","19.92","","5.18%"
"12/19/2023","20.48","19.82","20.55","19.69","","5.40%"
"12/18/2023","19.43","22.59","22.59","17.71","","7.76%"
"12/15/2023","18.03","17.64","18.29","16.05","","6.31%"
"12/14/2023","16.96","20.28","20.28","16.81","","-15.62%"
"12/13/2023","20.10","20.58","21.52","18.47","","-0.45%"
"12/12/2023","20.19","21.27","21.90","19.19","","-6.01%"
"12/11/2023","21.48","29.36","29.36","20.82","","-1.10%"
"12/08/2023","21.72","22.30","23.57","21.72","","-8.51%"
"12/07/2023","23.74","23.30","24.16","23.25","","-2.42%"
"12/06/2023","24.33","23.35","24.64","22.71","","6.20%"
"12/05/2023","22.91","23.56","24.27","22.70","","-0.13%"
"12/04/2023","22.94","28.14","28.14","22.41","","-3.65%"
"12/01/2023","23.81","23.53","24.97","22.83","","-0.42%"
"11/30/2023","23.91","23.68","25.23","23.33","","2.18%"
"11/29/2023","23.40","22.82","24.29","22.63","","6.17%"
"11/28/2023","22.04","21.86","23.90","21.25","","4.50%"
"11/27/2023","21.09","23.87","23.87","20.22","","4.77%"
"11/24/2023","20.13","23.34","23.34","20.10","","-10.17%"
"11/22/2023","22.41","20.96","23.09","20.43","","10.07%"
"11/21/2023","20.36","20.29","20.61","19.47","","3.77%"
"11/20/2023","19.62","23.86","23.86","18.05","","3.75%"
"11/17/2023","18.91","19.24","19.48","18.22","","-3.52%"
"11/16/2023","19.60","20.77","21.33","19.01","","-8.58%"
"11/15/2023","21.44","22.20","22.31","20.68","","-1.06%"
"11/14/2023","21.67","21.34","24.02","21.33","","-9.06%"
"11/13/2023","23.83","28.51","28.51","22.50","","16.93%"
"11/10/2023","20.38","22.89","23.87","20.38","","-16.41%"
"11/09/2023","24.38","22.66","25.51","22.24","","4.05%"
"11/08/2023","23.43","24.99","26.05","22.86","","-6.17%"
"11/07/2023","24.97","25.28","26.21","24.72","","2.25%"
"11/06/2023","24.42","30.28","30.28","24.11","","0.45%"
"11/03/2023","24.31","24.61","26.84","23.78","","-3.53%"
"11/02/2023","25.20","26.47","27.25","24.91","","-11.45%"
"11/01/2023","28.46","29.38","30.83","27.82","","-5.98%"
"10/31/2023","30.27","32.23","32.67","29.09","","-6.08%"
"10/30/2023","32.23","40.56","40.56","31.46","","-6.47%"
"10/27/2023","34.46","29.61","35.63","29.59","","18.58%"
"10/26/2023","29.06","30.38","32.46","28.95","","0.38%"
"10/25/2023","28.95","27.40","31.41","26.99","","19.58%"
"10/24/2023","24.21","25.44","27.52","22.41","","-10.57%"
"10/23/2023","27.07","36.33","36.33","25.87","","-6.94%"
"10/20/2023","29.09","27.61","29.14","25.99","","-1.12%"
"10/19/2023","29.42","24.05","29.52","21.21","","23.56%"
"10/18/2023","23.81","22.68","26.23","22.66","","9.37%"
"10/17/2023","21.77","22.43","23.10","19.84","","9.51%"
"10/16/2023","19.88","24.93","24.93","19.36","","-11.37%"
"10/13/2023","22.43","18.99","25.61","18.77","","15.32%"
"10/12/2023","19.45","17.64","22.97","16.72","","5.25%"
"10/11/2023","18.48","20.04","22.65","18.48","","-12.42%"
"10/10/2023","21.10","22.04","22.17","17.24","","-5.68%"
"10/09/2023","22.37","27.03","27.03","22.25","","0.58%"
"10/06/2023","22.24","24.87","25.43","21.50","","-7.68%"
"10/05/2023","24.09","24.41","26.28","23.21","","-3.68%"
"10/04/2023","25.01","26.05","27.22","24.29","","-6.05%"
"10/03/2023","26.62","26.95","28.70","25.37","","7.56%"
"10/02/2023","24.75","31.34","32.38","6.32","","0.32%"
"09/29/2023","24.67","20.91","25.54","20.05","","3.96%"
"09/28/2023","23.73","26.09","26.45","22.75","","-6.94%"
"09/27/2023","25.50","25.48","28.90","25.03","","-5.13%"
"09/26/2023","26.88","26.17","29.10","25.18","","10.34%"
"09/25/2023","24.36","31.76","31.76","24.00","","-10.11%"
"09/22/2023","27.10","26.00","27.55","24.20","","-6.94%"
"09/21/2023","29.12","27.06","200.54","3.72","","14.11%"
"09/20/2023","25.52","22.70","25.62","21.15","","11.83%"
"09/19/2023","22.82","23.03","24.72","22.39","","2.98%"
"09/18/2023","22.16","24.66","24.66","21.28","","5.22%"
"09/15/2023","21.06","18.96","21.65","18.23","","16.61%"
"09/14/2023","18.06","19.06","20.26","17.91","","-11.95%"
"09/13/2023","20.51","22.01","22.82","20.44","","-10.04%"
"09/12/2023","22.80","22.14","23.45","20.97","","11.76%"
"09/11/2023","20.40","28.13","28.13","20.20","","-1.92%"
"09/08/2023","20.80","21.51","21.75","20.52","","-4.76%"
"09/07/2023","21.84","24.57","24.73","21.42","","-5.37%"
"09/06/2023","23.08","22.61","25.48","21.10","","8.36%"
"09/05/2023","21.30","25.33","25.33","20.45","","8.78%"
"09/01/2023","19.58","19.10","20.67","18.93","","-2.88%"
"08/31/2023","20.16","20.88","21.31","19.67","","-3.91%"
"08/30/2023","20.98","22.51","23.40","20.94","","-7.25%"
"08/29/2023","22.62","24.22","24.42","22.30","","-5.43%"
"08/28/2023","23.92","26.82","26.82","23.60","","-5.00%"
"08/25/2023","25.18","26.33","29.32","24.41","","-11.18%"
"08/24/2023","28.35","22.81","28.96","22.81","","24.56%"
"08/23/2023","22.76","24.22","24.52","22.44","","-9.18%"
"08/22/2023","25.06","24.60","26.90","24.13","","-1.99%"
"08/21/2023","25.57","32.16","32.16","24.77","","0.95%"
"08/18/2023","25.33","29.39","29.39","24.87","","-6.67%"
"08/17/2023","27.14","23.15","27.82","22.95","","9.04%"
"08/16/2023","24.89","23.10","25.36","22.01","","7.15%"
"08/15/2023","23.23","21.30","24.11","20.64","","20.05%"
"08/14/2023","19.35","22.51","23.43","19.10","","-1.23%"
"08/11/2023","19.59","21.83","22.56","19.59","","-9.68%"
"08/10/2023","21.69","18.66","23.59","17.71","","6.01%"
"08/09/2023","20.46","20.04","22.45","19.23","","2.35%"
"08/08/2023","19.99","21.31","23.83","19.60","","8.05%"
"08/07/2023","18.50","19.39","20.91","18.43","","-11.74%"
"08/04/2023","20.96","16.94","22.66","16.25","","24.24%"
"08/03/2023","16.87","19.80","20.53","16.40","","-3.66%"
"08/02/2023","17.51","17.48","18.57","16.82","","26.79%"
"08/01/2023","13.81","13.89","14.59","13.46","","9.69%"
"07/31/2023","12.59","13.36","13.78","12.41","","0.08%"
"07/28/2023","12.58","11.16","14.04","10.92","","-4.70%"
"07/27/2023","13.20","10.61","14.71","10.61","","22.34%"
"07/26/2023","10.79","12.54","12.78","10.59","","16.65%"
"07/25/2023","9.25","9.80","10.10","9.20","","-1.39%"
"07/24/2023","9.38","9.52","10.07","9.20","","0.43%"
"07/21/2023","9.34","9.40","9.65","8.73","","-7.16%"
"07/20/2023","10.06","10.33","11.19","9.48","","2.44%"
"07/19/2023","9.82","9.03","10.00","9.00","","8.15%"
"07/18/2023","9.08","10.05","10.10","8.72","","-5.32%"
"07/17/2023","9.59","10.12","10.20","9.46","","0.31%"
"07/14/2023","9.56","10.12","10.20","9.25","","-5.91%"
"07/13/2023","10.16","10.21","10.54","9.79","","-4.87%"
"07/12/2023","10.68","12.31","12.92","10.63","","-21.47%"
"07/11/2023","13.60","13.80","14.28","13.23","","2.56%"
"07/10/2023","13.26","14.20","14.44","13.12","","0.15%"
"07/07/2023","13.24","14.84","14.84","12.18","","-11.97%"
"07/06/2023","15.04","16.02","18.79","14.04","","10.67%"
"07/05/2023","13.59","14.43","14.71","13.20","","11.67%"
"07/03/2023","12.17","12.25","12.30","11.82","","-2.80%"
"06/30/2023","12.52","11.98","12.62","11.35","","0.24%"
"06/29/2023","12.49","12.93","13.44","12.12","","-1.73%"
"06/28/2023","12.71","13.69","13.74","12.55","","-9.02%"
"06/27/2023","13.97","14.65","14.82","13.59","","-8.75%"
"06/26/2023","15.31","15.49","15.97","14.25","","-1.23%"
"06/23/2023","15.50","16.77","16.77","14.06","","-0.45%"
"06/22/2023","15.57","17.82","18.03","14.67","","-10.93%"
"06/21/2023","17.48","18.68","19.64","17.18","","-1.13%"
"06/20/2023","17.68","19.24","20.41","17.30","","-1.83%"
"06/16/2023","18.01","18.69","19.64","17.73","","-6.05%"
"06/15/2023","19.17","17.94","19.23","17.09","","5.91%"
"06/14/2023","18.10","21.03","21.03","17.62","","-12.31%"
"06/13/2023","20.64","20.59","21.47","19.86","","-0.67%"
"06/12/2023","20.78","19.79","20.95","18.39","","18.81%"
"06/09/2023","17.49","17.19","18.36","16.82","","-1.91%"
